------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.859,kernel=poly,C=8.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=8.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=8.0,gamma=2.0,degree=3,SVM
0.686,kernel=poly,C=8.0,gamma=2.0,degree=4,SVM
0.859,kernel=poly,C=8.0,gamma=8.0,degree=1,SVM
0.814,kernel=poly,C=8.0,gamma=8.0,degree=2,SVM
0.755,kernel=poly,C=8.0,gamma=8.0,degree=3,SVM
0.686,kernel=poly,C=8.0,gamma=8.0,degree=4,SVM
0.848,kernel=poly,C=32.0,gamma=3.0517578125e-05,degree=1,SVM
0.619,kernel=poly,C=32.0,gamma=3.0517578125e-05,degree=2,SVM
0.482,kernel=poly,C=32.0,gamma=3.0517578125e-05,degree=3,SVM
0.434,kernel=poly,C=32.0,gamma=3.0517578125e-05,degree=4,SVM
0.862,kernel=poly,C=32.0,gamma=0.0001220703125,degree=1,SVM
0.705,kernel=poly,C=32.0,gamma=0.0001220703125,degree=2,SVM
0.583,kernel=poly,C=32.0,gamma=0.0001220703125,degree=3,SVM
0.528,kernel=poly,C=32.0,gamma=0.0001220703125,degree=4,SVM
0.860,kernel=poly,C=32.0,gamma=0.00048828125,degree=1,SVM
0.772,kernel=poly,C=32.0,gamma=0.00048828125,degree=2,SVM
0.650,kernel=poly,C=32.0,gamma=0.00048828125,degree=3,SVM
0.567,kernel=poly,C=32.0,gamma=0.00048828125,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=0.001953125,degree=1,SVM
0.805,kernel=poly,C=32.0,gamma=0.001953125,degree=2,SVM
0.717,kernel=poly,C=32.0,gamma=0.001953125,degree=3,SVM
0.633,kernel=poly,C=32.0,gamma=0.001953125,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=0.0078125,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=0.0078125,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=0.0078125,degree=3,SVM
0.695,kernel=poly,C=32.0,gamma=0.0078125,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=0.03125,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=0.03125,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=0.03125,degree=3,SVM
0.686,kernel=poly,C=32.0,gamma=0.03125,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=0.125,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=0.125,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=0.125,degree=3,SVM
0.686,kernel=poly,C=32.0,gamma=0.125,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=0.5,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=0.5,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=0.5,degree=3,SVM
0.686,kernel=poly,C=32.0,gamma=0.5,degree=4,SVM
0.859,kernel=poly,C=32.0,gamma=2.0,degree=1,SVM
0.814,kernel=poly,C=32.0,gamma=2.0,degree=2,SVM
0.755,kernel=poly,C=32.0,gamma=2.0,degree=3,SVM
